fault_type,fault_start,breach_time,run_id
precursor_aborted,2026-07-17 19:32:50.459684+00:00,2026-07-17 19:33:32.675274+00:00,real_spec_data_20260717_2352__nm_pe2_003
precursor_aborted,2026-07-17 19:40:13.002407+00:00,2026-07-17 19:40:59.066538+00:00,real_spec_data_20260717_2352__nm_pe2_004
tunnel_degradation,2026-07-17 19:45:55.867306+00:00,2026-07-17 19:51:08.367974+00:00,real_spec_data_20260717_2352__spec_tunnel_degradation_001
congestion_breach,2026-07-17 20:05:34.577598+00:00,2026-07-17 20:16:36.235301+00:00,real_spec_data_20260717_2352__spec_congestion_breach_001
vrf_leakage,2026-07-17 20:31:20.461849+00:00,2026-07-17 20:35:39.495882+00:00,real_spec_data_20260717_2352__spec_vrf_leakage_001
bgp_route_flap,2026-07-17 20:54:01.448444+00:00,2026-07-17 21:04:10.655986+00:00,real_spec_data_20260717_2352__spec_bgp_route_flap_001
tunnel_degradation,2026-07-17 21:15:35.060653+00:00,2026-07-17 21:22:34.594754+00:00,real_spec_data_20260717_2352__spec_tunnel_degradation_002
congestion_breach,2026-07-17 21:37:09.211592+00:00,2026-07-17 21:47:02.032704+00:00,real_spec_data_20260717_2352__spec_congestion_breach_002
vrf_leakage,2026-07-17 22:01:32.466921+00:00,2026-07-17 22:07:51.916328+00:00,real_spec_data_20260717_2352__spec_vrf_leakage_002
bgp_route_flap,2026-07-17 22:23:26.098490+00:00,2026-07-17 22:32:46.756561+00:00,real_spec_data_20260717_2352__spec_bgp_route_flap_002
tunnel_degradation,2026-07-17 22:45:06.203062+00:00,2026-07-17 22:54:03.041832+00:00,real_spec_data_20260717_2352__spec_tunnel_degradation_003
congestion_breach,2026-07-17 23:06:30.852105+00:00,2026-07-17 23:16:12.597253+00:00,real_spec_data_20260717_2352__spec_congestion_breach_003
vrf_leakage,2026-07-17 23:32:05.861293+00:00,2026-07-17 23:37:22.585046+00:00,real_spec_data_20260717_2352__spec_vrf_leakage_003
bgp_route_flap,2026-07-17 23:51:50.406972+00:00,2026-07-18 00:02:44.022694+00:00,real_spec_data_20260717_2352__spec_bgp_route_flap_003
bgp_route_flap,2026-07-21 12:05:26.967657+00:00,2026-07-21 12:14:07.291057+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-21 12:05:26.967944+00:00,2026-07-21 12:13:24.362077+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-21 12:26:38.211430+00:00,2026-07-21 12:37:20.722467+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-21 12:26:38.211650+00:00,2026-07-21 12:34:45.587099+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_02_vrf_leakage
bgp_route_flap,2026-07-21 12:49:38.431450+00:00,2026-07-21 12:57:47.997054+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_03_bgp_route_flap
vrf_leakage,2026-07-21 12:49:38.431605+00:00,2026-07-21 12:57:04.381047+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_03_vrf_leakage
