timestamp,host,bgp_update_rate,drop_out_rate,jitter_ms,latency_ms,packet_loss_pct,throughput_in_bps,throughput_out_bps,throughput_in_mbps,throughput_out_mbps,fault_type,event_phase,circumstance_label,run_id
2026-07-15T19:16:49+00:00,station2,,0.0,1.272,1.75,0.0,10412958.945454543,517402.9636363636,83.30367156363634,4.139223709090909,none,none,healthy,
2026-07-15T19:16:49+00:00,station3,,0.0,0.072,0.682,0.0,199.49090909090907,1083.4181818181817,0.0015959272727272726,0.008667345454545453,none,none,healthy,
2026-07-15T19:17:04+00:00,station1,,0.0,0.021,0.273,0.0,604570.6727272726,12058940.49090909,4.836565381818181,96.47152392727273,none,none,healthy,
2026-07-15T19:17:04+00:00,station2,,0.0,0.035,0.249,0.0,12057293.763636362,605919.0,96.4583501090909,4.847352,none,none,healthy,
2026-07-15T19:17:04+00:00,station3,,0.0,0.014,0.293,0.0,239.0181818181818,1299.290909090909,0.0019121454545454545,0.010394327272727273,none,none,healthy,
2026-07-15T19:17:19+00:00,station1,,0.0,0.81,1.918,0.0,445583.62575225905,8870118.906928964,3.5646690060180726,70.96095125543171,none,none,healthy,
2026-07-15T19:17:19+00:00,station2,,0.0,0.214,1.867,0.0,8868929.181818182,446682.9636363636,70.95143345454545,3.573463709090909,none,none,healthy,
2026-07-15T19:17:19+00:00,station3,,0.0,888.728,1876.471,20.0,198.0,1082.1636363636362,0.001584,0.00865730909090909,none,none,healthy,
2026-07-15T19:17:34+00:00,station1,,0.0,0.158,1.867,0.0,557867.1818181818,11104455.49090909,4.462937454545454,88.83564392727273,none,none,healthy,
2026-07-15T19:17:34+00:00,station2,,0.0,0.652,1.706,0.0,11102482.054545455,559154.6727272726,88.81985643636364,4.473237381818181,none,none,healthy,
2026-07-15T19:17:34+00:00,station3,,0.0,2791.042,4489.623,0.0,237.0181818181818,1310.0363636363634,0.0018961454545454543,0.010480290909090906,none,none,healthy,
2026-07-15T19:17:49+00:00,station1,,0.0,0.24,2.405,0.0,445786.55199374515,8870281.633543648,3.5662924159499614,70.96225306834918,none,none,healthy,
2026-07-15T19:17:49+00:00,station2,,0.0,0.405,2.327,0.0,8868722.818181818,446836.67272727273,70.94978254545455,3.574693381818182,none,none,healthy,
2026-07-15T19:17:49+00:00,station3,,0.0,1444.162,2958.237,0.0,202.4,1095.9272727272726,0.0016192000000000001,0.008767418181818181,none,none,healthy,
2026-07-15T19:18:04+00:00,station1,,0.0,0.167,1.82,0.0,624974.309090909,12449278.38181818,4.999794472727272,99.59422705454544,none,none,healthy,
2026-07-15T19:18:04+00:00,station2,,0.0,0.108,2.034,0.0,12447635.69090909,626216.0181818181,99.58108552727272,5.009728145454544,none,none,healthy,
2026-07-15T19:18:04+00:00,station3,,0.0,837.051,1116.71,100.0,231.49090909090907,1310.6,0.0018519272727272726,0.010484799999999999,none,none,healthy,
2026-07-15T19:18:19+00:00,station1,,0.0,0.039,0.232,0.0,496188.34545454546,9900258.345454544,3.9695067636363635,79.20206676363635,none,none,healthy,
2026-07-15T19:18:19+00:00,station2,,0.0,0.032,0.157,0.0,9899017.181818182,497276.47272727266,79.19213745454546,3.9782117818181812,none,none,healthy,
2026-07-15T19:18:19+00:00,station3,,0.0,0.041,0.25,0.0,197.74545454545452,1084.0545454545454,0.001581963636363636,0.008672436363636363,none,none,healthy,
2026-07-15T19:18:34+00:00,station1,,0.0,0.02,0.71,0.0,445925.14545454545,8883212.999999998,3.5674011636363634,71.06570399999998,none,none,healthy,
2026-07-15T19:18:34+00:00,station2,,0.0,0.255,0.984,0.0,8881721.836363636,447218.94545454544,71.0537746909091,3.5777515636363635,none,none,healthy,
2026-07-15T19:18:34+00:00,station3,,0.0,0.241,2.19,0.0,245.27272727272728,1297.3090909090909,0.001962181818181818,0.010378472727272726,none,none,healthy,
